Year,GeoType,Borough,Community District Number,Community District Name,Total Population,Average household size,Children,Latino,White non-Hispanic,Black non-Hispanic,Asian,Other race,Two or more races,Total housing units,Occupied housing units,Vacant housing units
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,107
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,137
,,,,,,,,,,,,,,,,108
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,120
,,,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,,,143
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,139
,,,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,126
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,957
,,,,,,,,,,,,,,,,"1,138"
,,,,,,,,,,,,,,,,190
,,,,,,,,,,,,,,,,220
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,438
,,,,,,,,,,,,,,,,136
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,361
,,,,,,,,,,,,,,,,730
,,,,,,,,,,,,,,,,278
,,,,,,,,,,,,,,,,341
,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,442
,,,,,,,,,,,,,,,,123
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,153
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,211
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,344
,,,,,,,,,,,,,,,,153
,,,,,,,,,,,,,,,,264
,,,,,,,,,,,,,,,,345
,,,,,,,,,,,,,,,,554
,,,,,,,,,,,,,,,,464
,,,,,,,,,,,,,,,,168
,,,,,,,,,,,,,,,,123
,,,,,,,,,,,,,,,,378
,,,,,,,,,,,,,,,,537
,,,,,,,,,,,,,,,,501
,,,,,,,,,,,,,,,,204
,,,,,,,,,,,,,,,,223
,,,,,,,,,,,,,,,,436
,,,,,,,,,,,,,,,,339
,,,,,,,,,,,,,,,,301
,,,,,,,,,,,,,,,,470
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,435
,,,,,,,,,,,,,,,,333
,,,,,,,,,,,,,,,,450
,,,,,,,,,,,,,,,,585
,,,,,,,,,,,,,,,,231
,,,,,,,,,,,,,,,,310
,,,,,,,,,,,,,,,,348
,,,,,,,,,,,,,,,,193
,,,,,,,,,,,,,,,,413
,,,,,,,,,,,,,,,,159
,,,,,,,,,,,,,,,,411
,,,,,,,,,,,,,,,,489
,,,,,,,,,,,,,,,,127
,,,,,,,,,,,,,,,,475
,,,,,,,,,,,,,,,,131
,,,,,,,,,,,,,,,,542
,,,,,,,,,,,,,,,,621
,,,,,,,,,,,,,,,,361
,,,,,,,,,,,,,,,,489
,,,,,,,,,,,,,,,,395
,,,,,,,,,,,,,,,,539
,,,,,,,,,,,,,,,,267
,,,,,,,,,,,,,,,,292
,,,,,,,,,,,,,,,,286
,,,,,,,,,,,,,,,,556
,,,,,,,,,,,,,,,,566
,,,,,,,,,,,,,,,,509
,,,,,,,,,,,,,,,,641
,,,,,,,,,,,,,,,,362
,,,,,,,,,,,,,,,,387
,,,,,,,,,,,,,,,,470
,,,,,,,,,,,,,,,,668
,,,,,,,,,,,,,,,,383
,,,,,,,,,,,,,,,,634
,,,,,,,,,,,,,,,,626
,,,,,,,,,,,,,,,,453
,,,,,,,,,,,,,,,,309
,,,,,,,,,,,,,,,,915
,,,,,,,,,,,,,,,,761
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,693
,,,,,,,,,,,,,,,,481
,,,,,,,,,,,,,,,,949
,,,,,,,,,,,,,,,,334
,,,,,,,,,,,,,,,,860
,,,,,,,,,,,,,,,,569
,,,,,,,,,,,,,,,,271
,,,,,,,,,,,,,,,,395
,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,283
,,,,,,,,,,,,,,,,122
,,,,,,,,,,,,,,,,197
,,,,,,,,,,,,,,,,984
,,,,,,,,,,,,,,,,249
,,,,,,,,,,,,,,,,245
,,,,,,,,,,,,,,,,165
,,,,,,,,,,,,,,,,408
,,,,,,,,,,,,,,,,146
,,,,,,,,,,,,,,,,176
,,,,,,,,,,,,,,,,261
,,,,,,,,,,,,,,,,592
,,,,,,,,,,,,,,,,790
,,,,,,,,,,,,,,,,342
,,,,,,,,,,,,,,,,198
,,,,,,,,,,,,,,,,289
,,,,,,,,,,,,,,,,410
,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,645
,,,,,,,,,,,,,,,,453
,,,,,,,,,,,,,,,,251
,,,,,,,,,,,,,,,,318
,,,,,,,,,,,,,,,,416
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,642
,,,,,,,,,,,,,,,,491
,,,,,,,,,,,,,,,,433
,,,,,,,,,,,,,,,,506
,,,,,,,,,,,,,,,,365
,,,,,,,,,,,,,,,,813
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,598
,,,,,,,,,,,,,,,,394
,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,879
,,,,,,,,,,,,,,,,698
,,,,,,,,,,,,,,,,549
,,,,,,,,,,,,,,,,444
,,,,,,,,,,,,,,,,482
,,,,,,,,,,,,,,,,614
,,,,,,,,,,,,,,,,646
,,,,,,,,,,,,,,,,495
,,,,,,,,,,,,,,,,124
,,,,,,,,,,,,,,,,793
,,,,,,,,,,,,,,,,435
,,,,,,,,,,,,,,,,169
,,,,,,,,,,,,,,,,130
,,,,,,,,,,,,,,,,202
,,,,,,,,,,,,,,,,539
,,,,,,,,,,,,,,,,758
,,,,,,,,,,,,,,,,184
,,,,,,,,,,,,,,,,410
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,268
,,,,,,,,,,,,,,,,173
,,,,,,,,,,,,,,,,309
,,,,,,,,,,,,,,,,"1,705"
,,,,,,,,,,,,,,,,694
,,,,,,,,,,,,,,,,970
,,,,,,,,,,,,,,,,550
,,,,,,,,,,,,,,,,639
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,181
,,,,,,,,,,,,,,,,300
,,,,,,,,,,,,,,,,843
,,,,,,,,,,,,,,,,192
,,,,,,,,,,,,,,,,408
,,,,,,,,,,,,,,,,285
,,,,,,,,,,,,,,,,204
,,,,,,,,,,,,,,,,547
,,,,,,,,,,,,,,,,740
,,,,,,,,,,,,,,,,214
,,,,,,,,,,,,,,,,364
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,"1,810"
,,,,,,,,,,,,,,,,151
,,,,,,,,,,,,,,,,330
,,,,,,,,,,,,,,,,548
,,,,,,,,,,,,,,,,190
,,,,,,,,,,,,,,,,148
,,,,,,,,,,,,,,,,124
,,,,,,,,,,,,,,,,474
,,,,,,,,,,,,,,,,381
,,,,,,,,,,,,,,,,374
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,868
,,,,,,,,,,,,,,,,268
,,,,,,,,,,,,,,,,139
,,,,,,,,,,,,,,,,996
,,,,,,,,,,,,,,,,258
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,537
,,,,,,,,,,,,,,,,155
,,,,,,,,,,,,,,,,716
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,557
,,,,,,,,,,,,,,,,220
,,,,,,,,,,,,,,,,453
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,490
,,,,,,,,,,,,,,,,126
,,,,,,,,,,,,,,,,407
,,,,,,,,,,,,,,,,152
,,,,,,,,,,,,,,,,578
,,,,,,,,,,,,,,,,120
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,801
,,,,,,,,,,,,,,,,357
,,,,,,,,,,,,,,,,170
,,,,,,,,,,,,,,,,646
,,,,,,,,,,,,,,,,134
,,,,,,,,,,,,,,,,322
,,,,,,,,,,,,,,,,170
,,,,,,,,,,,,,,,,603
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,293
,,,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,,,373
,,,,,,,,,,,,,,,,252
,,,,,,,,,,,,,,,,322
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,376
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,253
,,,,,,,,,,,,,,,,178
,,,,,,,,,,,,,,,,447
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,209
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,493
,,,,,,,,,,,,,,,,160
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,133
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,141
,,,,,,,,,,,,,,,,134
,,,,,,,,,,,,,,,,139
,,,,,,,,,,,,,,,,264
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,319
,,,,,,,,,,,,,,,,148
,,,,,,,,,,,,,,,,192
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,244
,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,197
,,,,,,,,,,,,,,,,141
,,,,,,,,,,,,,,,,246
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,145
,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,144
,,,,,,,,,,,,,,,,222
,,,,,,,,,,,,,,,,220
,,,,,,,,,,,,,,,,212
,,,,,,,,,,,,,,,,405
,,,,,,,,,,,,,,,,281
,,,,,,,,,,,,,,,,349
,,,,,,,,,,,,,,,,245
,,,,,,,,,,,,,,,,148
,,,,,,,,,,,,,,,,197
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,143
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,271
,,,,,,,,,,,,,,,,183
,,,,,,,,,,,,,,,,181
,,,,,,,,,,,,,,,,180
,,,,,,,,,,,,,,,,133
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,156
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,335
,,,,,,,,,,,,,,,,139
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,192
,,,,,,,,,,,,,,,,176
,,,,,,,,,,,,,,,,108
,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,156
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,247
,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,180
,,,,,,,,,,,,,,,,173
,,,,,,,,,,,,,,,,121
,,,,,,,,,,,,,,,,129
,,,,,,,,,,,,,,,,121
,,,,,,,,,,,,,,,,184
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,152
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,149
,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,,,111
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,394
,,,,,,,,,,,,,,,,451
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,99
,,,,,,,,,,,,,,,,299
,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,194
,,,,,,,,,,,,,,,,160
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,,,"1,191"
,,,,,,,,,,,,,,,,164
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,128
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,173
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,170
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,119
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,140
,,,,,,,,,,,,,,,,140
,,,,,,,,,,,,,,,,107
,,,,,,,,,,,,,,,,111
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,107
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,167
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,107
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,169
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,115
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,131
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,136
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,137
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,301
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,145
,,,,,,,,,,,,,,,,143
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,384
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,136
,,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,,,129
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,124
,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,87
,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,128
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,133
,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,120
,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,121
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,124
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,199
,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,139
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,156
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,146
,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,48
