Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
2012,Public Protection,Police Services,Sergeant 3,150624.89,0,24714.89,175339.78
1993,Community Health,Nursing,Registered Nurse,153956.41,2919.03,18463.46,175338.9
1992,Public Protection,Police Services,Police Officer 2,126195.86,39818.02,9323.31,175337.19
2006,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,175336.75,0,0,175336.75
1997,Public Protection,Fire Services,"Lieutenant, Fire Suppression",132196.49,32849.4,10289.58,175335.47
2010,Public Protection,Fire Services,Firefighter,110861.69,53322.31,11149.16,175333.16
2017,"Public Works, Transportation & Commerce",Skilled Labor,Power Generation Supervisor,130978.21,33665.18,10689.23,175332.62
2012,Public Protection,Fire Services,Firefighter,113827.03,42959.69,18545.82,175332.54
2009,Public Protection,Police Services,Police Officer 3,122121.83,37971.4,15236.31,175329.54
2004,Public Protection,Police Services,Lieutenant 3,158107.9,6529,10683.08,175319.98
1992,Public Protection,Legal & Court,Attorney (Civil/Criminal),172588.07,0,2730.3,175318.37
2015,Public Protection,Legal & Court,Attorney (Civil/Criminal),172588.01,0,2730.3,175318.31
2004,"Public Works, Transportation & Commerce",Management,Manager VI,175315.92,0,0,175315.92
2010,"Public Works, Transportation & Commerce",Management,Manager VI,175315.9,0,0,175315.9
1997,Public Protection,Police Services,Lieutenant 3,164404.32,1761.31,9135.43,175301.06
2013,Public Protection,Fire Services,"Invstgtor,Fire Dept",138420.95,19574.4,17302.64,175297.99
2016,Public Protection,Fire Services,Firefighter,112396.16,45613.8,17280.24,175290.2
2014,Public Protection,Fire Services,Firefighter,111749.5,49000.23,14536.92,175286.65
2016,Public Protection,Police Services,Police Officer 2,114543.25,47848.96,12893.28,175285.49
2006,Community Health,Nursing,Nurse Practitioner,171548.07,0,3729.48,175277.55
2006,Public Protection,Fire Services,"Invstgtor,Fire Dept",128760.32,30423.65,16088.13,175272.1
2004,Community Health,Nursing,Nurse Manager,174356.03,0,910,175266.03
1998,Public Protection,Fire Services,"Captain, Fire Suppression",147896.58,2242.98,25125.67,175265.23
2005,Public Protection,Fire Services,Firefighter,114553.81,31871.61,28839.67,175265.09
1997,Public Protection,Protection & Apprehension,Public Safetycomm Disp,95614.5,68157.18,11489.07,175260.75
2006,Community Health,Nursing,Anesthetist,162734.8,3750.52,8773.77,175259.09
1995,Public Protection,Fire Services,Firefighter,112889.85,41090.76,21277.29,175257.9
2014,Community Health,Nursing,Registered Nurse,131298.69,6513.18,37441.42,175253.29
1995,Public Protection,Police Services,Police Officer 3,118326.5,46741.12,10170.69,175238.31
2013,Public Protection,Fire Services,Firefighter,111640.51,44315.67,19280.61,175236.79
1995,Public Protection,Police Services,Sergeant 3,143163.16,16739.54,15330.88,175233.58
2000,General Administration & Finance,Management,Manager VII,175233.09,0,0,175233.09
2012,Public Protection,Fire Services,Fire Rescue Paramedic,124186.46,40103.85,10942.76,175233.07
1995,Public Protection,Probation & Parole,"Asst Chf Prob Ofc, Juv Prob",175231.24,0,0,175231.24
2001,"Public Works, Transportation & Commerce",Administrative-Labor & Trades,Water Const&Main Supt,104895.05,26077.61,44258.53,175231.19
2001,Public Protection,Police Services,Inspector 3,138540.25,14986.95,21703.53,175230.73
1996,Public Protection,Fire Services,"Captain, Fire Suppression",149778.64,6728.94,18722.32,175229.9
2003,Public Protection,Police Services,Police Officer 2,119452.49,46024.22,9734.36,175211.07
2017,Public Protection,Police Services,Sergeant 3,140700.11,23359.01,11150.02,175209.14
1997,Public Protection,Fire Services,Firefighter,112889.84,42957.16,19347.59,175194.59
2008,Community Health,Nursing,Registered Nurse,147139.35,0,28053.33,175192.68
2013,General Administration & Finance,Information Systems,IS Engineer-Principal,137144.4,0,38042.34,175186.74
2014,Public Protection,Legal & Court,Attorney (Civil/Criminal),172588,0,2597.46,175185.46
2008,Community Health,Nursing,Registered Nurse,154923.74,0,20261.12,175184.86
1997,Community Health,Nursing,Registered Nurse,133861.1,125.8,41195.1,175182
2004,Community Health,Nursing,Nurse Practitioner,172845.15,0,2333.3,175178.45
2003,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.04,27645.45,16567.36,175173.85
2008,Community Health,Nursing,Special Nurse,167782.41,7371,18.43,175171.84
1993,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,164421.71,7421.55,3326.98,175170.24
2009,Public Protection,Police Services,Police Officer 3,133951.37,26507.23,14706.96,175165.56
2011,Public Protection,Fire Services,Firefighter,112703.74,47985.85,14474.65,175164.24
2014,Public Protection,Legal & Court,Attorney (Civil/Criminal),173714.1,0,1437.5,175151.6
2002,Public Protection,Police Services,Sergeant 3,137318.84,9980.14,27852.08,175151.06
2008,Community Health,Medical & Dental,Senior Physician Specialist,175147.04,0,0,175147.04
1998,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Chief Stationary Engineer,118085.23,34628.99,22430.23,175144.45
2011,Culture & Recreation,Management,Dept Head I,175141.2,0,0,175141.2
2017,Public Protection,Legal & Court,Attorney (Civil/Criminal),173889.97,0,1250,175139.97
2007,Public Protection,Legal & Court,Attorney (Civil/Criminal),173889.94,0,1250,175139.94
2006,Public Protection,Fire Services,"Captain, Fire Suppression",148121.09,17345.34,9670.54,175136.97
2010,Public Protection,Police Services,Sergeant 3,138579.12,30525.66,6031.25,175136.03
2012,Community Health,Nursing,Nurse Practitioner,174788.6,94.67,250,175133.27
1993,Community Health,Nursing,Registered Nurse,137677.5,0,37455.07,175132.57
1995,General Administration & Finance,Management,Dep Dir III,175130.95,0,0,175130.95
2005,Public Protection,Police Services,Sergeant 3,148777.24,15111.29,11242.28,175130.81
1998,Public Protection,Police Services,Police Officer 3,120041.47,47756.69,7321.29,175119.45
2010,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130754.55,29721.45,14633.36,175109.36
2016,"Public Works, Transportation & Commerce",Management,Manager V,175106.56,0,0,175106.56
1999,Public Protection,Police Services,Police Officer 3,120209.65,45913.97,8976.26,175099.88
2009,Public Protection,Fire Services,Firefighter,112889.82,49872.82,12334.98,175097.62
2017,"Public Works, Transportation & Commerce",Management,Manager VII,174503.41,0,592.29,175095.7
2002,Public Protection,Police Services,"Sergeant, (Police Department)",135558.24,32283.24,7249.96,175091.44
2016,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,89241.1,73336.48,12505.84,175083.42
2013,Community Health,Nursing,Registered Nurse,137661.02,0,37420.93,175081.95
2013,General Administration & Finance,Management,Dep Dir III,175081.54,0,0,175081.54
2004,Public Protection,Police Services,Lieutenant 3,159832.71,8070.33,7173.36,175076.4
2003,Public Protection,Police Services,Lieutenant 2,154896,1224.88,18954.16,175075.04
2010,Community Health,Nursing,Special Nurse,144840.51,1451.18,28780.3,175071.99
2006,Public Protection,Correction & Detention,Deputy Sheriff,104896.76,53906.81,16268.13,175071.7
2015,Community Health,Nursing,Clinical Nurse Specialist,174819.76,0,250,175069.76
2007,Public Protection,Police Services,Sergeant 3,142142.13,27324.33,5599.4,175065.86
2005,Public Protection,Fire Services,Firefighter,112703.77,43274.74,19086.75,175065.26
1999,Human Welfare & Neighborhood Development,Management,Dept Head I,154291.86,0,20772.6,175064.46
2011,Community Health,Nursing,Registered Nurse,137886.69,2404.88,34772.52,175064.09
2000,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,175052.77,0,0,175052.77
2006,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,175052.76,0,0,175052.76
2015,"Public Works, Transportation & Commerce",Management,Manager V,175052.72,0,0,175052.72
1997,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,175052.72,0,0,175052.72
2005,Community Health,Nursing,Clinical Nurse Specialist,174802.01,0,250,175052.01
2000,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.93,37006.97,7813.82,175050.72
2013,Community Health,Management,Manager VIII,175047.63,0,0,175047.63
2015,Community Health,Nursing,Registered Nurse,136655.2,0,38387.4,175042.6
2000,Public Protection,Fire Services,Firefighter,106863.91,50888.32,17287.55,175039.78
1996,"Public Works, Transportation & Commerce",Management,Manager VII,175032.92,0,0,175032.92
2013,Public Protection,Police Services,Lieutenant 3,160664.72,7719.21,6648.85,175032.78
2001,Public Protection,Fire Services,"Captain, Emergency Med Svcs",141269.55,14296.04,19465.31,175030.9
2014,Public Protection,Fire Services,Firefighter,112889.81,41710.84,20426.79,175027.44
1992,Public Protection,Legal & Court,Attorney (Civil/Criminal),173589.3,0,1437.5,175026.8
2002,"Public Works, Transportation & Commerce",Management,Manager VI,175025.01,0,0,175025.01
1996,Public Protection,Fire Services,Firefighter,113953.03,42999.84,18059.29,175012.16
1998,"Public Works, Transportation & Commerce",Professional Engineering,Engineer,172796.43,0,2212.53,175008.96
1992,Public Protection,Fire Services,Firefighter,133941.96,29903.95,11158.07,175003.98
2002,Public Protection,Police Services,Lieutenant 3,163523.07,6135.13,5344.85,175003.05
2013,Public Protection,Police Services,Assistant Inspector 2,135837.76,24939.77,14215.68,174993.21
2007,Public Protection,Fire Services,Firefighter,113827.04,41941.39,19220.64,174989.07
2001,Public Protection,Protection & Apprehension,Public Safetycomm Supv,111221.7,52205.65,11555.09,174982.44
2017,Community Health,Nursing,Nurse Practitioner,172201.59,0,2776.58,174978.17
2000,Public Protection,Police Services,Police Officer 3,119469.77,51742.88,3758.93,174971.58
2001,"Public Works, Transportation & Commerce",Management,Dep Dir III,174970.21,0,0,174970.21
1996,Public Protection,Fire Services,Firefighter,112889.81,43042.83,19037.5,174970.14
1993,Community Health,Nursing,Nurse Manager,147656.51,0,27313.05,174969.56
1994,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.01,36150.67,7857.74,174969.42
2011,Public Protection,Legal & Court,Attorney (Civil/Criminal),173454.55,0,1500,174954.55
2005,Public Protection,Police Services,Police Officer 2,117144.5,46738.88,11070.13,174953.51
2010,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131140.7,28499.36,15313.1,174953.16
2002,Community Health,Medical & Dental,Senior Physician Specialist,165455.3,0,9495,174950.3
2005,Public Protection,Police Services,Police Officer,106136.9,66760.01,2047.63,174944.54
2017,Public Protection,Legal & Court,Attorney (Civil/Criminal),173442.6,0,1500,174942.6
2014,Public Protection,Police Services,Sergeant 3,139487.34,14773.6,20677.7,174938.64
2003,Community Health,Nursing,Registered Nurse,157864.59,1315.99,15757.32,174937.9
2004,Public Protection,Police Services,Police Officer 3,119469.82,41246.33,14221.09,174937.24
2016,Public Protection,Legal & Court,Attorney (Civil/Criminal),172588.04,0,2331.9,174919.94
2008,Public Protection,Fire Services,Firefighter,116099.54,39598.47,19220.3,174918.31
1998,Public Protection,Fire Services,"Lieutenant, Fire Suppression",151560.54,4219.52,19132.6,174912.66
2004,"Public Works, Transportation & Commerce",Management,Manager VI,174910.1,0,0,174910.1
1993,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),173406.22,0,1500,174906.22
1994,Public Protection,Fire Services,Firefighter,112703.74,50742.25,11455.08,174901.07
2004,Community Health,Nursing,Registered Nurse,163411.08,0,11488.87,174899.95
2002,Public Protection,Police Services,Sergeant 3,115327.79,43664.61,15907.48,174899.88
2008,Public Protection,Fire Services,"Captain, Fire Suppression",149531.78,4485.96,20879.77,174897.51
1996,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961,27378.28,16556.05,174895.33
2013,Public Protection,Police Services,Sergeant 3,140968,30273.14,3653.04,174894.18
2001,Public Protection,Fire Services,"Lieutenant, Fire Suppression",137495.52,24323.6,13067.07,174886.19
2014,Public Protection,Police Services,Sergeant 3,143095.2,20672.11,11117.34,174884.65
2005,Public Protection,Police Services,Sergeant 2,136250,24199.25,14435.06,174884.31
2008,Public Protection,Police Services,Sergeant 3,144135.53,3378.43,27370.04,174884
2008,Community Health,Management,IS Manager,174882.06,0,0,174882.06
2006,Public Protection,Police Services,Police Officer 3,122486.18,43870.27,8523.95,174880.4
2002,"Public Works, Transportation & Commerce",Professional Engineering,Assoc Engineer,171649.87,0,3225.99,174875.86
1998,Public Protection,Legal & Court,Attorney (Civil/Criminal),173374,0,1500,174874
2007,Public Protection,Police Services,Police Officer 3,122486.23,41140.25,11246.47,174872.95
2004,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130251.12,20033.73,24586.24,174871.09
2006,Public Protection,Fire Services,Firefighter,110697.35,41122.97,23049.73,174870.05
2015,Public Protection,Police Services,Police Officer 3,118898.15,43407.8,12563.59,174869.54
2004,Community Health,Nursing,Clinical Nurse Specialist,174121.5,0,746.58,174868.08
2004,Public Protection,Police Services,Sergeant 3,141178.73,17048.74,16636.66,174864.13
2006,Public Protection,Police Services,Police Officer 3,119355.3,43433.28,12071.23,174859.81
2005,Public Protection,Police Services,Police Officer 3,120094.1,42673.98,12090.19,174858.27
2005,Public Protection,Police Services,Lieutenant 3,159177.1,7875.89,7799.87,174852.86
1994,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961,24782.24,19103.94,174847.18
1995,General Administration & Finance,Management,Dep Dir III,174846.12,0,0,174846.12
2008,Public Protection,Police Services,Sergeant 3,137716.84,25189.41,11936.36,174842.61
2015,Public Protection,Police Services,Police Officer 3,120671.54,44813.36,9356.93,174841.83
2008,Public Protection,Police Services,Police Officer 3,122826.06,34390.54,17614.09,174830.69
2005,Community Health,Nursing,Registered Nurse,136528.88,118.69,38182.59,174830.16
2009,Public Protection,Fire Services,Firefighter,116099.5,35351.72,23376.91,174828.13
1999,Public Protection,Legal & Court,Attorney (Civil/Criminal),173327.5,0,1500,174827.5
2009,Public Protection,Police Services,Lieutenant 3,163072.65,434.42,11315.84,174822.91
2017,Public Protection,Fire Services,Firefighter,113952.32,42112.53,18754.18,174819.03
2003,Community Health,Nursing,Registered Nurse,146802.1,0,28014.54,174816.64
1994,Public Protection,Fire Services,Firefighter,113827.04,46781.75,14206.9,174815.69
1998,Community Health,Nursing,Registered Nurse,145079.1,0,29726.57,174805.67
2000,Public Protection,Police Services,Sergeant 3,141102,24760.71,8941.5,174804.21
2006,Public Protection,Fire Services,EMT/Paramedic/Firefighter,129001.32,36518.6,9284.25,174804.17
1994,"Public Works, Transportation & Commerce",Management,Dep Dir III,174800.98,0,0,174800.98
2000,Public Protection,Fire Services,Firefighter,112703.75,43485.28,18606.71,174795.74
2002,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172588,0,2198.6,174786.6
2013,Community Health,Nursing,Nurse Practitioner,165784.05,8749.92,250,174783.97
2003,Public Protection,Police Services,Sergeant 3,143211.92,25709.87,5857.79,174779.58
1996,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.04,18966.52,24848.04,174775.6
2010,Public Protection,Fire Services,Firefighter,113827.04,42019.24,18926.41,174772.69
2006,Public Protection,Police Services,Police Officer 3,120041.5,37938.45,16787.77,174767.72
1998,Public Protection,Fire Services,"Lieutenant, Fire Suppression",139770.12,19426.94,15562.66,174759.72
2013,Public Protection,Correction & Detention,Deputy Sheriff,96340.5,58895.77,19518.67,174754.94
2000,Public Protection,Correction & Detention,Deputy Sheriff,96701.8,57852.67,20196.22,174750.69
2008,"Public Works, Transportation & Commerce",Management,Manager V,174748.96,0,0,174748.96
2016,Community Health,Medical & Dental,Supervising Physician Spec,174748.14,0,0,174748.14
2015,Public Protection,Fire Services,Firefighter,111640.49,40911.14,22187.52,174739.15
2004,Community Health,Nursing,Registered Nurse,138767.7,2229.83,33738.68,174736.21
1999,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),173235.9,0,1500,174735.9
2017,Community Health,Nursing,Registered Nurse,138736.11,118.69,35878.17,174732.97
1992,"Public Works, Transportation & Commerce",Information Systems,IS Engineer-Principal,158051.6,0,16680.66,174732.26
2016,Community Health,Medical & Dental,Senior Physician Specialist,174731.99,0,0,174731.99
2008,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,172140.71,0,2586.12,174726.83
2012,Public Protection,Police Services,Police Officer 3,117754.83,50912.12,6054.24,174721.19
2011,Public Protection,Police Services,Sergeant 3,141094.5,19072.34,14549.11,174715.95
2014,Public Protection,Fire Services,"Insp, Fire Dept",135118.52,31489.09,8107.11,174714.72
2009,Community Health,Nursing,Nurse Practitioner,156043.22,5267.22,13401.52,174711.96
2012,Community Health,Nursing,Registered Nurse,132031.4,12735.1,29943.71,174710.21
1992,Public Protection,Police Services,Sergeant 3,142297.74,28544.81,3863.47,174706.02
2009,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130444.9,27854.99,16405.62,174705.51
2012,Public Protection,Police Services,Lieutenant 3,161368.1,753.41,12583.56,174705.07
2010,Community Health,Nursing,Registered Nurse,138208.6,0,36489.22,174697.82
2013,Public Protection,Police Services,Sergeant 3,140714.64,24049.7,9918.81,174683.15
1994,Public Protection,Fire Services,Firefighter,115004.2,39117.19,20558.64,174680.03
2006,Public Protection,Police Services,Sergeant 3,139749.78,29909.76,5019.82,174679.36
2006,Public Protection,Fire Services,Firefighter,116099.52,47532.89,11041.31,174673.72
1996,Public Protection,Correction & Detention,Senior Deputy Sheriff,106774.5,47604.88,20288.01,174667.39
2007,Community Health,Nursing,Registered Nurse,148170.75,984.98,25511.65,174667.38
2008,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,174047.95,0,617.1,174665.05
1996,Public Protection,Management,Manager V,174662.77,0,0,174662.77
1994,Public Protection,Police Services,Police Officer 3,119469.82,41714.34,13478.33,174662.49
2005,Public Protection,Fire Services,"Insp, Fire Dept",134472,29430,10757.76,174659.76
1996,Public Protection,Police Services,Sergeant 3,139963,13074.44,21617.7,174655.14
2017,Public Protection,Legal & Court,Attorney (Civil/Criminal),172588,0,2066.3,174654.3
2004,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172588.04,0,2065.79,174653.83
2002,Community Health,Nursing,Registered Nurse,155597.03,0,19055.64,174652.67
2002,Public Protection,Fire Services,Firefighter,113827.04,41800.62,19024.89,174652.55
2010,Public Protection,Medical & Dental,Physician Specialist,174650.64,0,0,174650.64
1998,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131214.33,26481.73,16952.88,174648.94
2017,Public Protection,Police Services,Police Officer 3,125313.83,42881.59,6447.73,174643.15
1992,Public Protection,Fire Services,EMT/Paramedic/Firefighter,106228.47,61960.02,6453.58,174642.07
1996,Public Protection,Fire Services,Firefighter,112889.82,42370.88,19380.72,174641.42
2003,Public Protection,Police Services,Lieutenant 3,159127.5,0,15513.38,174640.88
1996,General Administration & Finance,Management,Manager V,174632.13,0,0,174632.13
2000,General Administration & Finance,Management,Manager V,174632.12,0,0,174632.12
2011,General Administration & Finance,Management,Manager V,174632.1,0,0,174632.1
1998,Community Health,Nursing,Nurse Practitioner,172942.55,0,1689.53,174632.08
2009,"Public Works, Transportation & Commerce",Journeyman Trade,Electronic Maintenance Tech,101088,58847.89,14695.05,174630.94
2015,Public Protection,Police Services,Police Officer 3,121479.73,49073.29,4077.52,174630.54
1997,Public Protection,Police Services,Police Officer 3,125128.51,38876.98,10623.09,174628.58
2001,"Public Works, Transportation & Commerce",Management,Manager VI,174625.6,0,0,174625.6
2016,"Public Works, Transportation & Commerce",Management,Manager VI,174625.53,0,0,174625.53
2011,Community Health,Management,Dep Dir III,174625.52,0,0,174625.52
2015,Community Health,Management,Manager VI,174625.52,0,0,174625.52
1998,"Public Works, Transportation & Commerce",Management,Manager VI,174625.52,0,0,174625.52
2002,General Administration & Finance,Management,Manager VI,174625.51,0,0,174625.51
2000,"Public Works, Transportation & Commerce",Management,Manager VI,174625.51,0,0,174625.51
1992,Community Health,Management,Manager VI,174625.51,0,0,174625.51
2006,General Administration & Finance,Management,Manager VI,174625.51,0,0,174625.51
2012,General Administration & Finance,Management,Manager VI,174625.5,0,0,174625.5
2014,Community Health,Management,Manager VI,174625.5,0,0,174625.5
2008,"Public Works, Transportation & Commerce",Management,Manager VI,174625.5,0,0,174625.5
2007,Public Protection,Police Services,Lieutenant 3,158445.71,5448.7,10727.18,174621.59
2008,Community Health,Nursing,Registered Nurse,156941.71,607.5,17071.77,174620.98
2011,Public Protection,Police Services,Lieutenant 3,158218.28,14664.85,1731.77,174614.9
2002,Public Protection,Fire Services,Firefighter,123145.5,30683.05,20779.03,174607.58
2007,"Public Works, Transportation & Commerce",Management,Manager VI,174605.64,0,0,174605.64
1995,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),88492.8,0,86110.8,174603.6
2005,Public Protection,Police Services,"Sergeant, (Police Department)",131492.38,33108.08,9993.78,174594.24
2000,"Public Works, Transportation & Commerce",Professional Engineering,Landscape Architect Assoc 2,174593.47,0,0,174593.47
1994,Community Health,Nursing,Registered Nurse,144549.1,698.13,29342.83,174590.06
2006,Public Protection,Police Services,Police Officer 2,117144.5,48520.11,8919.74,174584.35
2001,Public Protection,Police Services,Police Officer 3,122486,47535.09,4559.4,174580.49
2016,Public Protection,Police Services,Inspector 3,104349.04,2980.9,67250.08,174580.02
2000,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.68,26718.21,16325.66,174579.55
1997,Culture & Recreation,Management,Dep Dir III,174575.19,0,0,174575.19
2011,Public Protection,Police Services,Sergeant 3,142142.15,21276.47,11156.12,174574.74
2005,Public Protection,Police Services,Police Officer 3,121248.93,42303.55,11018.57,174571.05
1995,Public Protection,Fire Services,EMT/Paramedic/Firefighter,128559.49,40868.85,5142.38,174570.72
1994,Public Protection,Fire Services,Firefighter,106753.28,50192.93,17624.32,174570.53
1998,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Utility Plumber Supervisor 2,132849.06,27493.19,14226.61,174568.86
2009,Community Health,Management,Manager VI,174560.87,0,0,174560.87
2001,"Public Works, Transportation & Commerce",Management,Dep Dir III,174560.86,0,0,174560.86
1992,"Public Works, Transportation & Commerce",Management,Manager VI,174560.86,0,0,174560.86
1994,Community Health,Management,Manager IV,174560.85,0,0,174560.85
1995,Public Protection,Police Services,Police Officer,112164.03,52898.7,9498.05,174560.78
1999,Public Protection,Police Services,Police Officer,112649.43,52736.98,9174.15,174560.56
2007,Public Protection,Fire Services,Firefighter,112703.74,42929.81,18925.66,174559.21
2012,Public Protection,Fire Services,Firefighter,113766.99,43901.63,16889.49,174558.11
2007,Public Protection,Police Services,Police Officer 3,119469.79,45475.87,9612.35,174558.01
2011,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.07,25960.06,17633.94,174555.07
2015,"Public Works, Transportation & Commerce",Journeyman Trade,Maintenance Machinist,89940.6,69419.68,15193.81,174554.09
2002,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),173053.01,0,1500,174553.01
2006,Community Health,Nursing,Nurse Practitioner,137697.11,22242.91,14611.99,174552.01
1998,Community Health,Nursing,Registered Nurse,154414.97,0,20135.1,174550.07
2002,Public Protection,Police Services,Sergeant 3,138313.72,32076.26,4155.48,174545.46
2000,Public Protection,Police Services,Police Officer 3,122867.5,36057.52,15610.6,174535.62
2005,Public Protection,Police Services,Inspector 3,139041.2,28885.09,6606.51,174532.8
2000,Community Health,Nursing,Nurse Manager,153096.7,0,21433.55,174530.25
1993,"Public Works, Transportation & Commerce",Street Transit,"Manager VIII, MTA",174529.53,0,0,174529.53
2000,Public Protection,Police Services,Sergeant 3,138579.17,26207.49,9732.4,174519.06
1992,Public Protection,Fire Services,"Lieutenant, Fire Suppression",108116.96,53308.4,13089.95,174515.31
2017,Public Protection,Fire Services,EMT/Paramedic/Firefighter,129001.3,29385.13,16125.14,174511.57
2011,"Public Works, Transportation & Commerce",Journeyman Trade,Electrical Transit System Mech,89960,69568.42,14982.78,174511.2
2000,Public Protection,Police Services,Police Officer 3,109752.17,9937.94,54818.82,174508.93
2010,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172442.82,0,2062.88,174505.7
2008,Public Protection,Fire Services,"Captain, Fire Suppression",151020.45,2308.04,21175,174503.49
1993,Human Welfare & Neighborhood Development,Management,Dept Head II,174503.45,0,0,174503.45
2017,General Administration & Finance,Management,Dept Head II,174503.43,0,0,174503.43
2005,"Public Works, Transportation & Commerce",Street Transit,"Manager VIII, MTA",174503.4,0,0,174503.4
2002,Public Protection,Police Services,Police Officer 2,124026.06,44686.68,5789.23,174501.97
2009,Public Protection,Fire Services,Firefighter,128561.99,37075.96,8862.77,174500.72
2012,Public Protection,Fire Services,EMT/Paramedic/Firefighter,129786.62,28807.17,15899.22,174493.01
2012,Community Health,Management,Manager V,174488.91,0,0,174488.91
1997,Public Protection,Police Services,Police Officer 3,119516.76,46886.46,8085.6,174488.82
2001,Public Protection,Police Services,Sergeant 3,137555.67,25557.85,11369.66,174483.18
2011,Public Protection,Police Services,Sergeant 3,140813.55,1771.05,31894.71,174479.31
2016,"Public Works, Transportation & Commerce",Management,Manager VII,174476.18,0,0,174476.18
2002,General Administration & Finance,Management,Dep Dir III,174475.94,0,0,174475.94
1992,General Administration & Finance,Management,Dept Head II,174472.4,0,0,174472.4
2007,"Public Works, Transportation & Commerce",Management,IS Manager,174471.43,0,0,174471.43
2017,Community Health,Management,IS Manager,174471.42,0,0,174471.42
2007,Public Protection,Management,IS Manager,174471.41,0,0,174471.41
2007,General Administration & Finance,Management,IS Manager,174471.33,0,0,174471.33
2000,General Administration & Finance,Management,IS Manager,174471.33,0,0,174471.33
2005,"Public Works, Transportation & Commerce",Management,Manager V,174470.6,0,0,174470.6
2014,Public Protection,Fire Services,Firefighter,112703.75,49437.67,12322.92,174464.34
2005,Public Protection,Police Services,Police Officer,112703.26,44542.59,17216.96,174462.81
2006,Community Health,Nursing,Clinical Nurse Specialist,174427.78,0,34.84,174462.62
2010,"Public Works, Transportation & Commerce",Construction Project Mgmt,Project Manager 3,174462.31,0,0,174462.31
1999,Public Protection,Police Services,Police Officer 3,119469.77,51276.64,3713.93,174460.34
2012,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Elevator And Crane Technician,115556.41,57382.01,1517.92,174456.34
1997,Community Health,"Lab, Pharmacy & Med Techs",Radiologic Tech Sprv,140631,17496.93,16326.23,174454.16
2013,Public Protection,Fire Services,"Insp, Fire Dept",125747.48,38646.51,10059.8,174453.79
2013,Community Health,Nursing,Nurse Practitioner,174199.82,0,250,174449.82
2009,Community Health,Nursing,Nurse Practitioner,174199.82,0,250,174449.82
2008,Community Health,Nursing,Nurse Practitioner,174199.8,0,250,174449.8
2004,Community Health,Nursing,Nurse Practitioner,174198.4,0,250,174448.4
1999,"Public Works, Transportation & Commerce",Street Transit,"Manager VIII, MTA",174436.03,0,0,174436.03
2004,Community Health,Nursing,Registered Nurse,133673.47,12966.04,27784.57,174424.08
2017,"Public Works, Transportation & Commerce",Street Transit,"Manager VIII, MTA",174424.01,0,0,174424.01
2014,Public Protection,Fire Services,Firefighter,113642.48,55308.77,5470.85,174422.1
2007,"Public Works, Transportation & Commerce",Street Transit,"Manager VIII, MTA",174410,0,9,174419
2013,Public Protection,Correction & Detention,Sheriff's Lieutenant,144586.14,2926.82,26902.44,174415.4
2012,Public Protection,Police Services,Sergeant 3,146276.3,7678.71,20456.24,174411.25
2009,Community Health,Nursing,Registered Nurse,159690.75,0,14720.4,174411.15
2005,General Administration & Finance,Management,Manager VII,174410.06,0,0,174410.06
2009,Human Welfare & Neighborhood Development,Management,Manager VII,174410.05,0,0,174410.05
2017,"Public Works, Transportation & Commerce",Management,Manager VII,174410.05,0,0,174410.05
2002,"Public Works, Transportation & Commerce",Street Transit,"Manager VIII, MTA",174410.05,0,0,174410.05
2000,Human Welfare & Neighborhood Development,Management,Dept Head II,174410.04,0,0,174410.04
1993,"Public Works, Transportation & Commerce",Management,Manager VII,174410.02,0,0,174410.02
